timestamps,TP9,AF7,AF8,TP10,Right AUX
1712217077.156,-24.414,-32.227,-26.855,-24.902,0.000
1712217077.163,-22.949,-37.598,-24.902,-22.949,0.000
1712217077.167,-36.133,-30.762,-29.785,-30.273,0.000
1712217077.170,-25.391,-26.855,-32.227,-35.645,0.000
1712217077.174,-23.926,-29.785,-34.180,-28.320,0.000
1712217077.177,-25.879,-31.250,-33.691,-19.043,0.000
1712217077.181,-4.395,-32.227,-27.832,-6.348,0.000
1712217077.184,-16.602,-20.020,-33.691,-16.602,0.000
1712217077.188,-30.273,-34.180,-32.715,-22.461,0.000
1712217077.191,-41.992,-46.387,-34.180,-24.414,0.000
1712217077.195,-46.875,-33.691,-39.551,-33.691,0.000
1712217077.199,-42.480,-42.480,-34.180,-24.902,0.000
1712217077.202,-21.484,-31.250,-36.133,-28.320,0.000
1712217077.209,-30.273,-25.879,-36.621,-49.316,0.000
1712217077.212,-47.363,-44.434,-28.809,-39.062,0.000
1712217077.216,-29.785,-37.109,-28.320,-37.598,0.000
1712217077.219,-25.879,-34.668,-29.297,-43.945,0.000
1712217077.223,-28.320,-45.410,-24.414,-21.484,0.000
1712217077.227,-19.531,-27.344,-35.156,-28.809,0.000
1712217077.230,-22.949,-30.273,-45.410,-35.645,0.000
1712217077.234,-40.039,-52.734,-39.062,-33.691,0.000
1712217077.237,-44.434,-30.762,-50.293,-42.969,0.000
1712217077.241,-14.160,-16.602,-49.805,-33.691,0.000
1712217077.244,-7.812,-34.180,-34.180,-41.504,0.000
1712217077.248,-25.879,-26.855,-33.691,-48.828,0.000
1712217077.254,-37.598,-34.180,-25.879,-49.805,0.000
1712217077.258,-47.363,-48.340,-26.855,-56.641,0.000
1712217077.262,-33.691,-41.504,-31.738,-50.293,0.000
1712217077.265,-32.715,-30.273,-37.109,-47.363,0.000
1712217077.269,-44.434,-28.809,-40.527,-54.688,0.000
1712217077.272,-45.898,-27.344,-44.922,-61.035,0.000
1712217077.276,-73.242,-31.738,-50.293,-57.129,0.000
1712217077.279,-59.570,-51.270,-45.410,-41.504,0.000
1712217077.283,-30.762,-41.016,-42.480,-47.363,0.000
1712217077.287,-43.457,-29.785,-40.527,-58.594,0.000
1712217077.290,-65.918,-43.457,-43.945,-62.988,0.000
1712217077.294,-51.270,-42.969,-41.016,-55.664,0.000
1712217077.300,-27.832,-34.668,-42.480,-49.805,0.000
1712217077.304,-22.461,-34.668,-51.758,-53.711,0.000
1712217077.307,-37.598,-39.062,-45.410,-49.316,0.000
1712217077.311,-41.016,-43.945,-43.945,-45.898,0.000
1712217077.314,-41.992,-36.133,-41.504,-55.176,0.000
1712217077.318,-33.203,-32.227,-44.434,-52.246,0.000
1712217077.322,-31.738,-39.062,-49.316,-40.527,0.000
1712217077.325,-39.551,-42.969,-46.387,-49.316,0.000
1712217077.329,-54.688,-26.855,-56.641,-60.059,0.000
1712217077.332,-50.781,-30.762,-56.641,-58.105,0.000
1712217077.336,-37.109,-39.551,-48.828,-59.570,0.000
1712217077.340,-32.227,-30.273,-49.805,-49.316,0.000
1712217077.346,-32.227,-40.039,-42.969,-34.180,0.000
1712217077.349,-39.551,-36.133,-40.527,-45.410,0.000
1712217077.353,-39.062,-28.320,-46.875,-55.176,0.000
