channel,band,feature_type,window_shift,subject_id,mean_correlation
AF7,gamma,skewness,win-6,10,-0.010316323779535718
AF7,gamma,skewness,win-7,10,-0.010198916323649707
AF7,gamma,skewness,win-8,10,-0.01043774966687224
AF7,gamma,skewness,win-9,10,-0.00654811045577908
AF7,gamma,skewness,win0,10,-0.003858763495813077
AF7,gamma,standard_deviation,win-1,10,-0.09812989751343221
AF7,gamma,standard_deviation,win-2,10,-0.10687634009727241
AF7,gamma,standard_deviation,win-3,10,-0.10996856436731933
AF7,gamma,standard_deviation,win-4,10,-0.1049599368229324
AF7,gamma,standard_deviation,win-5,10,-0.09609437057488106
AF7,gamma,standard_deviation,win-6,10,-0.07847433722513548
AF7,gamma,standard_deviation,win-7,10,-0.07392823844129415
AF7,gamma,standard_deviation,win-8,10,-0.08449977837621717
AF7,gamma,standard_deviation,win-9,10,-0.09280942277775397
AF7,gamma,standard_deviation,win0,10,-0.0939658813467094
AF7,gamma,total_variation,win-1,10,-0.08581459523845647
AF7,gamma,total_variation,win-2,10,-0.09442546942759084
AF7,gamma,total_variation,win-3,10,-0.09781628359894229
AF7,gamma,total_variation,win-4,10,-0.09167295466534633
AF7,gamma,total_variation,win-5,10,-0.08472769756835426
AF7,gamma,total_variation,win-6,10,-0.07026951655820841
AF7,gamma,total_variation,win-7,10,-0.0604790418896808
AF7,gamma,total_variation,win-8,10,-0.07030571466839802
AF7,gamma,total_variation,win-9,10,-0.07941564373582723
AF7,gamma,total_variation,win0,10,-0.0820472302450696
AF7,theta,approx_entropy,win-1,10,0.032714251186437344
AF7,theta,approx_entropy,win-2,10,0.04996713016893625
AF7,theta,approx_entropy,win-3,10,0.06290347868428486
AF7,theta,approx_entropy,win-4,10,0.08017017982786032
AF7,theta,approx_entropy,win-5,10,0.08732614783771224
AF7,theta,approx_entropy,win-6,10,0.09953384894019753
AF7,theta,approx_entropy,win-7,10,0.10165432384616437
AF7,theta,approx_entropy,win-8,10,0.11462834120276366
AF7,theta,approx_entropy,win-9,10,0.12205003457058865
AF7,theta,approx_entropy,win0,10,0.020797795460764622
AF7,theta,energy,win-1,10,-0.1399986436006226
AF7,theta,energy,win-2,10,-0.14486635109699522
AF7,theta,energy,win-3,10,-0.15061367738816586
AF7,theta,energy,win-4,10,-0.1517341613502364
AF7,theta,energy,win-5,10,-0.15796896373413677
AF7,theta,energy,win-6,10,-0.16477065783123718
AF7,theta,energy,win-7,10,-0.16787432578735378
AF7,theta,energy,win-8,10,-0.16564140353126783
AF7,theta,energy,win-9,10,-0.1752958469825816
AF7,theta,energy,win0,10,-0.14012560314744707
AF7,theta,skewness,win-1,10,0.016715075173839966
AF7,theta,skewness,win-2,10,0.028229879017870593
AF7,theta,skewness,win-3,10,0.02130040707124542
AF7,theta,skewness,win-4,10,0.0030586236572029317
AF7,theta,skewness,win-5,10,0.012644274397373841
AF7,theta,skewness,win-6,10,0.03717391003995945
AF7,theta,skewness,win-7,10,0.038933152718027345
AF7,theta,skewness,win-8,10,0.035489307150153825
AF7,theta,skewness,win-9,10,0.06544225234021775
AF7,theta,skewness,win0,10,0.016048800803890276
AF7,theta,standard_deviation,win-1,10,-0.13600223610396348
AF7,theta,standard_deviation,win-2,10,-0.13939112534312098
AF7,theta,standard_deviation,win-3,10,-0.14273384369022885
AF7,theta,standard_deviation,win-4,10,-0.14365747479906543
AF7,theta,standard_deviation,win-5,10,-0.1475496022279681
AF7,theta,standard_deviation,win-6,10,-0.15253470143795525
AF7,theta,standard_deviation,win-7,10,-0.15470219984175634
AF7,theta,standard_deviation,win-8,10,-0.15417007693161802
AF7,theta,standard_deviation,win-9,10,-0.1607744561577416
AF7,theta,standard_deviation,win0,10,-0.1357997630736459
AF7,theta,total_variation,win-1,10,-0.13782820174116495
AF7,theta,total_variation,win-2,10,-0.14083521334624444
AF7,theta,total_variation,win-3,10,-0.145265293194747
AF7,theta,total_variation,win-4,10,-0.14600603625467842
AF7,theta,total_variation,win-5,10,-0.14954779570906088
AF7,theta,total_variation,win-6,10,-0.1537574007955663
AF7,theta,total_variation,win-7,10,-0.15622907164207173
AF7,theta,total_variation,win-8,10,-0.15581082962483211
AF7,theta,total_variation,win-9,10,-0.1627068160526799
AF7,theta,total_variation,win0,10,-0.13726131299946595
AF8,alpha,approx_entropy,win-1,10,-0.027646869219161433
AF8,alpha,approx_entropy,win-2,10,-0.013969675442389114
AF8,alpha,approx_entropy,win-3,10,0.008899507051629733
AF8,alpha,approx_entropy,win-4,10,0.010892083990542173
AF8,alpha,approx_entropy,win-5,10,0.02339653462421405
AF8,alpha,approx_entropy,win-6,10,0.04038039319525256
AF8,alpha,approx_entropy,win-7,10,0.054484939595895114
AF8,alpha,approx_entropy,win-8,10,0.06382107156592397
AF8,alpha,approx_entropy,win-9,10,0.07555127542940701
AF8,alpha,approx_entropy,win0,10,-0.032991349057999025
AF8,alpha,energy,win-1,10,-0.23270956438815676
AF8,alpha,energy,win-2,10,-0.23686568365146135
AF8,alpha,energy,win-3,10,-0.24624335402584688
