timestamps,TP9,AF7,AF8,TP10,Right AUX
1712565393.517,-925.293,-903.32,-556.152,-1000,0
1712565393.52,102.539,106.934,-599.609,-19.531,0
1712565393.524,-1000,-1000,-593.262,-918.945,0
1712565393.527,-185.059,-620.117,-574.219,914.062,0
1712565393.531,995.605,709.961,-511.719,-328.125,0
1712565393.534,-913.574,-846.191,-527.832,-1000,0
1712565393.538,225.586,162.109,-649.414,-164.551,0
1712565393.544,-1000,-1000,-655.273,-999.512,0
1712565393.548,-223.145,-824.707,-548.34,-942.383,0
1712565393.552,998.535,468.262,-507.324,-40.527,0
1712565393.555,-927.246,-806.641,-543.457,-1000,0
1712565393.559,230.469,165.039,-630.371,-182.129,0
1712565393.563,-1000,-1000,-648.926,-993.164,0
1712565393.566,-643.066,-1000,-536.621,-942.871,0
1712565393.57,756.348,55.176,-500.977,28.809,0
1712565393.573,-836.426,-789.551,-569.824,-1000,0
1712565393.577,151.367,160.645,-606.445,-420.898,0
1712565393.581,-1000,-1000,-641.602,914.551,0
1712565393.584,-1000,-1000,-638.184,-900.879,0
1712565393.591,99.121,-202.637,-573.242,-12.207,0
1712565393.595,-768.066,-819.336,-532.715,-1000,0
1712565393.599,114.258,185.059,-604.492,-931.152,0
1712565393.602,-1000,-1000,-710.449,372.559,0
1712565393.606,-1000,-1000,-628.418,-840.82,0
1712565393.609,-89.355,-242.676,-495.605,-86.426,0
1712565393.613,-816.406,-869.629,-480.957,-1000,0
1712565393.617,160.645,287.598,-636.719,-1000,0
1712565393.62,-1000,-986.328,-695.801,-21.973,0
1712565393.624,-1000,-1000,-615.234,-773.926,0
1712565393.628,-260.254,-397.461,-572.754,134.277,0
1712565393.631,-826.66,-923.34,-567.871,-1000,0
1712565393.638,257.324,494.629,-602.539,-1000,0
1712565393.642,-1000,-842.285,-680.664,-127.441,0
1712565393.645,-1000,-1000,-665.527,-794.922,0
1712565393.649,-248.047,-463.379,-584.961,155.273,0
1712565393.653,-889.16,935.547,-540.039,-1000,0
1712565393.656,613.281,749.023,-552.246,-1000,0
1712565393.66,-750.488,-548.828,-654.297,-244.141,0
1712565393.664,-1000,-1000,-664.551,-821.289,0
1712565393.667,-182.129,-551.27,-532.227,310.059,0
1712565393.671,-997.07,798.828,-490.234,-982.91,0
1712565393.675,-964.844,-968.75,-576.172,-1000,0
1712565393.678,-141.602,-158.691,-661.133,-253.418,0
1712565393.685,-1000,-1000,-651.367,-856.934,0
1712565393.688,-162.109,-620.117,-574.219,575.195,0
1712565393.692,982.91,699.707,-546.387,-823.73,0
1712565393.696,-912.109,-854.98,-569.336,-1000,0
1712565393.699,184.57,97.168,-636.719,-206.055,0
1712565393.703,-1000,-1000,-628.418,-946.289,0
1712565393.707,-196.777,-750,-547.363,894.043,0
1712565393.71,-997.559,554.688,-529.297,-416.992,0
1712565393.714,-918.945,-817.871,-491.699,-1000,0
1712565393.718,229.98,207.031,-561.523,-171.387,0
1712565393.721,-1000,-1000,-654.297,-998.535,0
1712565393.725,-296.875,-906.738,-567.871,-953.613,0
1712565393.731,971.68,338.867,-506.348,-70.801,0
1712565393.735,-911.133,-802.734,-526.855,-1000,0
1712565393.739,228.027,315.918,-616.211,-260.742,0
1712565393.742,-1000,-983.887,-655.762,957.031,0
1712565393.746,-437.988,-1000,-565.918,-909.18,0
1712565393.75,895.02,143.555,-499.023,170.41,0
1712565393.753,-888.184,-824.219,-487.793,-1000,0
1712565393.757,394.531,486.816,-549.316,-424.805,0
1712565393.761,-1000,-824.219,-607.91,904.297,0
1712565393.764,-644.531,-1000,-594.727,-875.488,0
1712565393.768,799.316,-29.297,-542.48,184.082,0
1712565393.772,-918.457,-887.207,-522.949,-1000,0
1712565393.778,398.926,592.773,-576.66,-459.473,0
1712565393.782,-896.484,-665.039,-650.391,769.531,0
1712565393.785,-1000,-1000,-608.398,-851.074,0
1712565393.789,247.07,-170.898,-524.414,183.594,0
1712565393.793,-814.453,-906.25,-514.648,-1000,0
1712565393.796,598.633,747.559,-559.57,-892.09,0
1712565393.8,-742.676,-531.738,-657.227,422.852,0
1712565393.804,-1000,-1000,-574.707,-786.621,0
1712565393.807,-52.246,-245.117,-488.77,252.441,0
1712565393.811,-905.273,-972.168,-550.781,-1000,0
1712565393.815,856.934,905.762,-589.844,-1000,0
1712565393.818,-433.594,-299.316,-648.438,143.555,0
1712565393.824,-1000,-1000,-643.066,-780.762,0
1712565393.828,-158.691,-348.633,-583.496,465.332,0
1712565393.832,-985.84,953.613,-523.926,-886.23,0
1712565393.835,-968.262,-990.234,-536.133,-1000,0
1712565393.839,-144.043,-111.816,-660.645,-0.488,0
1712565393.843,-1000,-1000,-664.062,-830.078,0
1712565393.846,-175.293,-578.125,-546.387,628.418,0
1712565393.85,-996.582,773.438,-500.977,-717.773,0
1712565393.854,-944.824,-915.039,-591.797,-1000,0
1712565393.857,-11.23,-47.363,-705.078,-206.543,0
1712565393.861,-1000,-1000,-676.27,-934.082,0
1712565393.865,-318.848,-806.152,-582.031,855.469,0
1712565393.871,938.477,491.699,-562.012,-475.586,0
1712565393.874,-902.344,-831.543,-586.426,-1000,0
1712565393.878,174.805,40.527,-666.992,-175.781,0
1712565393.882,-1000,-1000,-687.988,-992.188,0
1712565393.885,-478.516,-959.961,-607.91,-964.355,0
1712565393.889,879.883,234.863,-552.246,-134.277,0
1712565393.893,-877.93,-788.574,-513.184,-1000,0
1712565393.896,202.148,137.695,-590.82,-201.66,0
1712565393.9,-1000,-1000,-726.562,989.258,0
